City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
84,Arraial Do Cabo,BR,76.96,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
86,Chanika,TZ,75.52,overcast clouds,-5.4167,38.0167,New Rombo Green Hotel
89,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
90,Dongsheng,CN,80.82,clear sky,39.8161,109.9776,Crowne Plaza Ordos
93,Karaton,ID,82.33,few clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
97,Touros,BR,81.5,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
101,Osa,RU,77.68,overcast clouds,57.2829,55.4567,Гостиница Оса
106,Praia,CV,82.94,clear sky,14.9215,-23.5087,LT Aparthotel
110,Khandbari,NP,75.18,overcast clouds,27.3747,87.2039,Sainik Hotel And Lodge
120,Pangai,TO,77.14,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
127,Victoria,HK,84.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
129,Cabo San Lucas,MX,82.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
131,Sarh,TD,89.51,scattered clouds,9.1429,18.3923,Domicile 1sur le goudron
133,Jurado,CO,77.83,moderate rain,7.1053,-77.7641,
136,Muros,ES,84.7,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
138,Bethel,US,76.53,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
141,Pangobilian,PH,80.38,overcast clouds,8.8011,117.8594,Sir Brooke's Resort
145,Cockburn Town,TC,81.37,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
148,Carutapera,BR,84.2,few clouds,-1.195,-46.02,Lidera
150,Svetlogorsk,BY,89.67,scattered clouds,52.6333,29.7333,Hotel Svetlogorsk JBIK
152,Virginia Beach,US,82.62,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
154,Surab,PK,86.34,overcast clouds,28.4914,66.2585,Bismillah Hotel
155,Canto Do Buriti,BR,87.91,clear sky,-8.11,-42.9444,Novo Hotel
156,Nikolsk,RU,85.1,broken clouds,53.7189,46.0712,Гостиница Центральная
160,Port Elizabeth,ZA,79.11,clear sky,-33.918,25.5701,39 On Nile Guest House
165,Lorengau,PG,80.58,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
166,Corredor,CR,78.44,overcast clouds,8.64,-82.946,Hotel Fortuna Verde
167,Qui Nhon,VN,84.49,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
171,Padang,ID,80.65,scattered clouds,-0.9492,100.3543,Mercure Padang
172,Tevaitoa,PF,77.58,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
177,Tura,IN,76.39,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
178,Lazaro Cardenas,MX,77.52,overcast clouds,17.9583,-102.2,quinta antigua
180,Wad Rawah,SD,88.27,overcast clouds,15.1603,33.1397,ود الترابي
181,Chateauroux,FR,81.55,clear sky,46.8167,1.7,Hôtel Kyriad Chateauroux
186,San Juan De Uraba,CO,80.42,scattered clouds,8.7592,-76.5297,Hotel Cerro De Zumba
187,Nago,JP,84.27,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
188,Honiara,SB,77.72,overcast clouds,-9.4333,159.95,Heritage Park Hotel
191,Kilindoni,TZ,77.59,few clouds,-7.9139,39.6668,Bustani B&B
193,Aden,YE,87.26,clear sky,12.7794,45.0367,Sama Emirate Hotel
195,Thinadhoo,MV,82.89,few clouds,0.5333,72.9333,
202,Datong,CN,77.27,overcast clouds,40.0936,113.2914,Holiday Inn Datong City Centre
210,Kavaratti,IN,82.17,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
215,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
216,Alta Floresta,BR,84.02,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
217,Shimoda,JP,76.1,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
218,Hasaki,JP,77.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
222,Jawhar,SO,83.35,overcast clouds,2.7809,45.5005,hantiwadaag village part one
223,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
