City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Fortuna,US,40.5982,-124.1573,53.94,94,90,1.01,overcast clouds
113,Carnarvon,AU,-24.8667,113.6333,60.87,49,40,3.44,scattered clouds
114,Thompson,CA,55.7435,-97.8558,50.16,87,90,5.75,overcast clouds
115,San Quintin,MX,30.4833,-115.95,67.32,93,28,6.2,scattered clouds
116,Russell,US,32.3502,-85.1999,74.91,87,20,0.0,few clouds
117,Miraflores,MX,19.2167,-98.8083,56.03,84,0,3.02,clear sky
118,Kajaani,FI,64.2273,27.7285,64.45,55,40,17.27,scattered clouds
119,Coihaique,CL,-45.5752,-72.0662,39.81,80,75,5.75,broken clouds
120,Pangai,TO,-19.8,-174.35,77.14,84,30,16.49,scattered clouds
121,Tselinnoye,RU,53.0833,85.6667,71.33,68,100,9.22,overcast clouds
122,Olafsvik,IS,64.8945,-23.7142,51.22,82,75,11.34,broken clouds
123,Yellowknife,CA,62.456,-114.3525,52.32,76,20,3.44,few clouds
124,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,78,75,6.8,broken clouds
125,Urla,TR,38.3229,26.764,105.71,43,0,8.21,clear sky
126,Bay City,US,43.5945,-83.8889,71.92,77,1,3.44,clear sky
127,Victoria,HK,22.2855,114.1577,84.96,90,100,1.99,overcast clouds
128,Barrow,US,71.2906,-156.7887,48.22,93,90,14.97,mist
129,Cabo San Lucas,MX,22.8909,-109.9124,82.51,83,93,3.0,overcast clouds
130,Vestmannaeyjar,IS,63.4427,-20.2734,50.99,87,75,13.8,broken clouds
131,Sarh,TD,9.1429,18.3923,89.51,62,40,13.8,scattered clouds
132,Alofi,NU,-19.0595,-169.9187,73.29,94,10,5.75,clear sky
133,Jurado,CO,7.1053,-77.7641,77.83,91,82,5.19,moderate rain
134,Yar-Sale,RU,66.8333,70.8333,58.32,57,25,10.89,scattered clouds
135,Hobart,AU,-42.8794,147.3294,50.92,79,75,5.01,broken clouds
136,Muros,ES,42.7762,-9.0603,84.7,79,56,6.06,broken clouds
137,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,87,90,16.11,overcast clouds
138,Bethel,US,41.3712,-73.414,76.53,91,90,4.61,overcast clouds
139,Sao Bento Do Sul,BR,-26.2503,-49.3786,53.26,87,3,7.87,clear sky
140,Srednekolymsk,RU,67.45,153.6833,48.7,52,100,9.13,overcast clouds
141,Pangobilian,PH,8.8011,117.8594,80.38,77,100,7.18,overcast clouds
142,Nelson Bay,AU,-32.7167,152.15,52.0,81,59,1.01,broken clouds
143,Sur,OM,22.5667,59.5289,92.52,53,0,6.02,clear sky
