City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Arraial Do Cabo,BR,2021-07-16 01:20:49,-22.9661,-42.0278,71.73,82,15,17.65
125,Novyy Urgal,RU,2021-07-16 01:20:50,51.0736,132.5642,76.01,91,100,8.88
126,Lavrentiya,RU,2021-07-16 01:20:50,65.5833,-171.0,54.61,73,68,15.12
127,Arlit,NE,2021-07-16 01:20:50,18.7369,7.3853,94.21,10,100,16.04
128,Starosubkhangulovo,RU,2021-07-16 01:20:50,53.1031,57.4423,55.89,81,43,2.84
129,Bluff,NZ,2021-07-16 01:20:50,-46.6,168.3333,55.8,84,19,6.17
130,Tura,IN,2021-07-16 01:20:51,25.5198,90.2201,77.38,94,32,3.09
131,Scarborough,GB,2021-07-16 01:20:51,54.2797,-0.4044,56.64,86,0,4.79
132,Quatre Cocos,MU,2021-07-16 01:20:51,-20.2078,57.7625,70.09,76,70,16.31
133,Itarema,BR,2021-07-16 01:20:51,-2.9248,-39.9167,77.61,80,96,10.63
134,Faanui,PF,2021-07-16 01:20:51,-16.4833,-151.75,80.4,71,3,17.74
135,Ouadda,CF,2021-07-16 01:20:52,8.0777,22.4007,66.58,98,88,2.37
136,Bilma,NE,2021-07-16 01:20:52,18.6853,12.9164,93.58,13,21,19.48
137,Vagur,FO,2021-07-16 01:20:52,61.4732,-6.8119,51.21,98,100,23.15
138,Igrim,RU,2021-07-16 01:20:52,63.1906,64.4162,56.26,56,16,4.18
139,Bowen,AU,2021-07-16 01:20:53,-20.0167,148.2333,76.46,76,6,12.46
140,Georgetown,MY,2021-07-16 01:20:53,5.4112,100.3354,84.13,81,20,1.99
141,Ribeira Grande,PT,2021-07-16 01:20:53,38.5167,-28.7,70.18,86,24,7.52
142,Atambua,ID,2021-07-16 01:20:53,-9.1061,124.8925,80.47,52,93,2.53
143,Kachug,RU,2021-07-16 01:20:54,53.9606,105.8817,72.0,61,10,2.77
144,Ponta Do Sol,PT,2021-07-16 01:20:54,32.6667,-17.1,73.0,80,2,4.41
